Table with column headers in rows 2 through 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
016,001,013,063,Idaho,Ada County,Georgia,Clayton County,0,28,30,38,-30,38,30,38,,,,,,,,,,,,,,,,,,,,,,,,
016,001,013,067,Idaho,Ada County,Georgia,Cobb County,25,47,0,30,25,47,25,47,,,,,,,,,,,,,,,,,,,,,,,,
016,001,013,117,Idaho,Ada County,Georgia,Forsyth County,0,28,6,17,-6,17,6,17,,,,,,,,,,,,,,,,,,,,,,,,
016,001,013,121,Idaho,Ada County,Georgia,Fulton County,26,38,0,30,26,38,26,38,,,,,,,,,,,,,,,,,,,,,,,,
016,001,013,135,Idaho,Ada County,Georgia,Gwinnett County,0,28,53,79,-53,79,53,79,,,,,,,,,,,,,,,,,,,,,,,,
016,001,013,151,Idaho,Ada County,Georgia,Henry County,0,28,131,136,-131,136,131,136,,,,,,,,,,,,,,,,,,,,,,,,
016,001,013,215,Idaho,Ada County,Georgia,Muscogee County,0,28,3,6,-3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
016,001,013,245,Idaho,Ada County,Georgia,Richmond County,0,28,11,16,-11,16,11,16,,,,,,,,,,,,,,,,,,,,,,,,
016,001,015,001,Idaho,Ada County,Hawaii,Hawaii County,24,39,55,62,-31,75,79,72,,,,,,,,,,,,,,,,,,,,,,,,
016,001,015,003,Idaho,Ada County,Hawaii,Honolulu County,146,110,159,76,-13,148,305,118,,,,,,,,,,,,,,,,,,,,,,,,
016,001,015,009,Idaho,Ada County,Hawaii,Maui County,97,153,0,26,97,153,97,153,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,003,Idaho,Ada County,Idaho,Adams County,46,52,32,34,14,63,78,61,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,005,Idaho,Ada County,Idaho,Bannock County,873,302,591,136,282,337,"1,464",326,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,007,Idaho,Ada County,Idaho,Bear Lake County,2,4,16,24,-14,24,18,24,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,009,Idaho,Ada County,Idaho,Benewah County,55,70,0,17,55,70,55,70,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,011,Idaho,Ada County,Idaho,Bingham County,197,147,77,68,120,164,274,160,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,013,Idaho,Ada County,Idaho,Blaine County,451,208,138,146,313,210,589,292,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,015,Idaho,Ada County,Idaho,Boise County,26,27,375,180,-349,181,401,183,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,017,Idaho,Ada County,Idaho,Bonner County,74,80,21,26,53,84,95,83,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,019,Idaho,Ada County,Idaho,Bonneville County,438,200,800,357,-362,423,"1,238",394,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,021,Idaho,Ada County,Idaho,Boundary County,9,8,0,19,9,8,9,8,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,023,Idaho,Ada County,Idaho,Butte County,33,51,26,38,7,67,59,60,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,027,Idaho,Ada County,Idaho,Canyon County,"3,820",886,"6,157","1,105","-2,337","1,355","9,977","1,475",,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,029,Idaho,Ada County,Idaho,Caribou County,10,14,32,33,-22,38,42,34,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,031,Idaho,Ada County,Idaho,Cassia County,68,58,118,89,-50,107,186,105,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,035,Idaho,Ada County,Idaho,Clearwater County,90,104,315,142,-225,211,405,133,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,037,Idaho,Ada County,Idaho,Custer County,50,58,26,26,24,62,76,64,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,039,Idaho,Ada County,Idaho,Elmore County,367,156,319,146,48,212,686,216,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,041,Idaho,Ada County,Idaho,Franklin County,15,27,46,37,-31,42,61,49,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,043,Idaho,Ada County,Idaho,Fremont County,43,37,146,79,-103,89,189,84,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,045,Idaho,Ada County,Idaho,Gem County,99,64,271,175,-172,187,370,185,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,047,Idaho,Ada County,Idaho,Gooding County,24,28,35,44,-11,53,59,51,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,049,Idaho,Ada County,Idaho,Idaho County,73,63,142,70,-69,96,215,93,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,051,Idaho,Ada County,Idaho,Jefferson County,60,70,45,34,15,79,105,76,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,053,Idaho,Ada County,Idaho,Jerome County,66,89,11,18,55,92,77,90,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,055,Idaho,Ada County,Idaho,Kootenai County,343,140,311,261,32,283,654,309,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,057,Idaho,Ada County,Idaho,Latah County,500,190,462,139,38,235,962,237,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,059,Idaho,Ada County,Idaho,Lemhi County,1,3,0,17,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
016,001,016,061,Idaho,Ada County,Idaho,Lewis County,139,209,16,28,123,210,155,212,,,,,,,,,,,,,,,,,,,,,,,,
